연번,용어명,용어설명,유사용어
1126,해양지질학,"해수의 운동과 물성(物性)에 관하여 연구하는 해양물리학, 수질을 다루는 해양화학, 플랑크톤과 많은 생물을 주로 다루는 해양생물학, 해저지질과 지각구조를 다루는 해양지질학 및 해양지구물리학 등이 포함되어 있다. 영어명 oceanography에서 알 수 있듯이 지리학적인 의미를 포함한 학문이지만, 제2차 세계대전 이후에 관측기의 개발로 인해 해양의 동적(動的) 현상을 연구하는 학문으로 발전하여 왔다. 현재의 해양관측은 관측기를 주체로 하여 행하여지며, 어떤 때는 몇 척의 관측선이 공동으로 관측하면서, 동역학적인 현상을 연구하고 있다. 또 관측탑 ·부표 등을 이용하여 연속관측도 하고 있으며, 항공기나 인공위성 등도 이용하고 있다. 최근에는 학문의 발전과 함께 많은 경계영역의 문제가 해양학의 대상이 되고 있다. 예를 들면 증발과 파(波)의 발생 등은 기상학과의 경계영역의 문제이다. 해상에서의 중력분포, 해저로부터의 지열류(地熱流)의 측정 등은 지구물리학과 관련이 있다. 또 해양의 생산력에 관한 문제로 생화학 ·",
1127,해외광물자원조사간접사업,해외광물자원개발사업자가 시행하는 탐광조사 및 사업타장성조사로서 대한광업진흥공사가 보조금의 예산 및 관리에 관한 법률에 의거 간접보조사업자로서 역할을 수행하는 사업을 말한다.,海外鑛物資源調査間接事業
1128,해외광물자원조사직접사업,"보조금의 예산 및 관리에 관한 법률에 의거 대한광업진흥공사가 보조사업자로서 행하거나 대한광업진흥공사 법에 의거 자체사업으로 실시하는 자료정보수집 및 발간, 자원정보조사, 광산조사, 자원개발협력기초조사와 용역조사 및 공사가 주도하는 기술교류 등을 말한다.",海外鑛物資源調査直接事業
1129,해저자원,"육상의 지하 자원은 유용한 것이기 때문에 장기적인 자원 확보의 방안으로 인류는 지구 표면의 70%를 차지하는 바다 밑의 부존 자원 개발을 시작하였다. 바닷물 자체에서도 소금, 마그네슘, 칼륨 등을 추출할 수 있으므로 바닷물도 자원이라 할 수 있다. 북아메리카와 카리브해 연안, 영국의 북해, 중동의 페르시아만, 남아메리카의 베네수엘라 해안 등지에서는 해저 유전을 개발하여 원유를 생산하고 있으며, 우리 나라는 서해와 남해에서 유전 탐사를 계속하고 있다. 수심 200m 미만의 대륙붕의 면적이 우리 나라 근해에서는 우리 국토의 2배 이상이 되므로 앞으로 탐사의 대상으로 기대된다. 해저자원으로 중요시되는 것은 심해저에 있는 망간 단괴이다. 이는 망간을 주성분으로 하여 철, 니켈 등의 금속을 함유하고 있는 공 모양의 침전물로서 태평양과 대서양저에 넓게 분포되어 있다. 이를 값싸게 채취할 수 있게 되면 엄청난 양의 새로운 자원을 얻게 되는 것이며, 망간의 경우는 전세계 수요량을 수천 년 공급하고도 남을 것으로 추정된다. 대륙붕의 해저 퇴적물로 얻어지는 자원 중에는 모래, 자갈, 철, 티탄, 지르곤, 주석, 다이아몬드 등이 있다. 현재까지 해양은 어류, 해초 등의 생물 자원의 대상이었지만, 앞으로는 바닷물에 용해되어 있는 화학적 자원 및 해저 퇴적물, 그리고 해양 지각 중에 있는 지질학적 자원이 개발 대상이 될 것이다.",海底資源
1130,핵연료,"우리나라에서도 원자력 발전소가 현재 가동되고 있으며, 또 계속 건설 중에 있어, 앞으로 전력의 주종이 원자력 발전으로 전환될 시기가 멀지 않았다. 이에 따라 원자력 발전의 원료가 되는 우라늄은 수요가 증가할 것이며, 핵연료는 가장 중요한 에너지 자원이 될 것이다. 그러나, 구미 선진국에서는 방사능 폐기물의 처리 문제 때문에 원자력 발전소의 증설이 보류되고 있다. 1980년 통계에 의하면 전세계 원자력 발전소는 240기가 가동중이며, 208기가 건설 중에 있다. 우리 나라에서는 경상 남도의 고리와 경상북도의 월성, 울진, 전라남도 영광등에 가동 중이다. 핵연료 자원은 우라늄 외에도 토륨, 베릴륨, 지르코늄, 세슘 등이 있으나 현재는 우라늄만이 이용되고 있다 우라늄은 천연 상태에서 U238 U235 U234가 공존하는데, 그 중 U235(전체의 0.75%)가 원자력 발전에 이용된다. 천연산의 우라늄은 여러가지 화합물도 산출되는데, 원광석을 처리하여 U3o8형태로 만든 것을 옐로우 케이크라 하며, 원자로에 넣을 때에는 UF6현태로 농축시켜야 한다. 우라늄의 매장량이 많은 나라는 미국, 오스트레일리아, 캐나다, 남아프리카, 니제르 등이며, 우리 나라의 충청북도 보은을 중심으로 한 지방에 저품위의 우라늄 광상의 부존이 확인되어 있는데 많은 양의 매장량이 기대된다. 이 지역의 탐사가 현재 진행중이며, 개발 이용에 대한 연구도 추진 중이다.",核燃料
1131,향사,습곡의 파도 중 골짜기에 해당되는 부분의 자태를 말한다. 어떤 방향으로 어느 정도의 길이에 걸쳐 연속되어 있는 것이 보통이다.,"向斜, Syncline"
1132,현대화개발기술,"현대화개발의 주목적인 생산성 향상을 기할 수 있는 갱도의 대규격화와 지보 기술, 대규모 채광과 다량적재 및 운반체계 설계기술 등을 말한다.",現代化開發技術
1133,현대화시설,"무(無)궤도 운반 개발방식에 사용되는 시설로서 천공, 적재 및 운반의 대형화로 생산성 향상을 기할 수 있는 점보드릴, 마인(mine)트럭(40∼100톤), LHD(적재기), 화약장전기, 장공천공기 등을 말한다.",現代化施設
1134,현지암,"암석 내에 역학적 결함을 포함하고 있는 상태의 암석을 말한다. 현지암은 암반의 강도나 변형 이외에도, 현지 암반에 발달한 절리와 층리 또는 풍화의 정도에 따라 분류하기도 한다.",
1135,혐기성석회석수로,산성광산폐수가 석회석과 접촉하면서 산성수를 중화시키는 기능을 말한다.,"嫌氣性石灰石水路, ALD; Anoxic limestone Drainage"
1136,형석,"화학성분은 CaF2이다. 육면체의 결정을 나타내며, 때로 팔면체의형태를 이루는데, 그 밖에도 결정질의 덩어리나 입상의 집합체를 이룬다. 굳기 4, 비중 3.1∼3.2이다. 쪼개짐은 팔면체에 완전하고, 무르다. 청록색 또는 보라색인 것이 많고, 그 밖에 무색 ·흰색 ·녹색 ·청색 ·황색 ·홍색 ·갈색 ·검정 등의 여러 가지 빛깔을 띤다. 또한 고체 속에 두 가지 빛깔이 섞여 나타나는데, 특히 결정체인 경우는 누대(累帶)를 나타내기도 한다. 투명 또는 반투명하고 조흔색(條痕色)은 흰색이다. 진한 색의 것은 반사광으로 청색, 통과광으로 녹색을 띤다. 가열하면 청색의 인광(燐光)을 방출하며 튕기는데, 이 때의 튕기는 모양이 반딧불이 나는 모양과 같아 형석이라는 이름이 붙었다. 흰색 또는 무색의 것 중에는 발광하지 않는 것도 있고, 방해석 중에는 발광하는 것도 있으므로 이것과 혼동하기 쉬운데, 굳기나 쪼개짐, 염산에 의한 발포(發泡)의 유무를 조사함으로써 쉽게 구별할 수 있다. 자외선 ·방사선으로도 발광한다. 중국(浙江省) ·러시아(우랄) ·영국(콘월) ·독일(작센) ·체코(보헤미아) ·미국(일리노이) 등지에서 많이 산출된다. 강철 ·알루미늄의 제조용, 유리의 부식용, 법랑용(琺瑯用), 납의 전기분해, 광학기기 등 용도가 넓다. 특히 영국 더비셔에서 산출되는 변종인 청색 존(blue john)은 한때 장식용기 외에 여러 용도로 사용되었다.","螢石,fluorite"
1137,호이스트,"비교적 소형의 화물을 들어 옮기는 장치. 광산·창고·철도역 등에서 화물의 운반이나 공장에서의 기계분해 ·조립에 사용된다. 원동기 ·기어감속장치 ·감기통 등을 한 조로 하고 권상용(捲上用) 로프 끝에 훅(hook)을 장치하여 화물을 들어올린다. 감기통을 손도르래로 움직이게 하는 수동(手動) 호이스트, 전동기를 사용한 전기 호이스트 ·텔퍼(telpher) 등이 있다. 단순히 호이스트라고 할 때는 일반적으로 전기 호이스트를 말한다. 고정되어 있는 것도 있으나 보통은 트롤리와 짝이 되어 I형 레일의 아래쪽 플랜지 위를 주행하게 되어 있다. 전동기는 바닥에서 밧줄로 조작한다. 권상하중은 0.5∼5 t 정도이지만, 그 중에서도 1∼3 t 의 것이 가장 많다. 장거리 주행 ·원방조작의 것에서는 전동(電動) 트롤리가 사용된다. 주행거리가 길 때, 바닥면에 장애물이 있을 경우 등 바닥에서의 조작이 불가능할 때는 운전실을 설치한 텔퍼(공중 케이블)가 사용된다. 이것은 역(驛) 등에서 선로를 타고 넘어 다른 플랫폼에 화물을 운반할 때 등에 사용된다. 탄갱(炭坑) 등 가스가 폭발할 우려가 있는 곳에서는 전기기계를 사용할 수 없으므로 압축공기를 이용해서 감기통을 회전시켜 로프를 감아 올리는 공기 호이스트가 사용된다. 구조에 따라 압축공기로 작동하는 피스톤과 크랭크 기구로 회전력을 얻고, 감속기어로 드럼을 회전시키는 회전식과 피스톤의 운동으로 직접 화물을 들어올리는 직동식(直動式)이 있다.",hoist
1138,혼성뇌관,"현재 많이 사용되고 있는 뇌관으로서 관 속에 테트릴을 넣고 그 위에 폭분을 넣은 뇌관이다. 이것을 테트릴 뇌관이라고도 하며, 테트릴은 첨장약이라 하고, 폭 분은 점폭약 또는 기폭제라 한다. 테트릴 뇌관은 뇌홍 뇌관에 비하여 폭분의 사용량이 적으며 위력도 커서, 다른 폭약에 폭굉을 전파하는 능력이 크다. 혼성 뇌관도 10단계로 나뉘어지는데, 가장 많이 사용되고 있는 것은 6호 뇌관이며, 3호 뇌관과 8호 뇌관도 사용된다.",
1139,혼합다이너마이트,"액체 상태의 NG는 폭발력은 강하지만 취급과 운반이 어렵기 때문에, NG와 규조토를 70∼75%:25∼30%의 비율로 배합하여 규조토 다이너마이트를 만들었으나, 현재는 거의 사용되지 않는다. 스트레이트 다이너마이트는 질산나트륨에 NG를 흡수시키고, 나뭇가루, 황 등의 가연성 물질을 배합하여 제조한 것을 말한다.",
1140,혼합화약류,"혼합 화약류는 일반적으로 산소, 질산염, 질소 산화물, 그리고 과염소산 등의 산화제와 가연성 물질로 구성되어 있고, 화합 화약류에 비하여 폭속은 느리지만 충격과 마찰에 민감하기 때문에 폭발하기 쉽다. 이 화약류의 종류에는 질산암모늄 폭약, 칼릿, 흑색 화약, 무연 화약, 그리고 액체 산소 폭약 등이 있다. 질산암모늄 폭약은 주성분인 질산암모늄에 가연성 물질, 감열제, 소염제 등을 혼합한 것으로, ANFO폭약 등이 이에 속한다. 칼릿폭약은 과염소산암모늄을 주성분으로 하고, 여기에 규소철, 목분, 중유 등을 배합한 것이다. 흑색 화약은 질산칼륨 60∼70%, 황10∼25%, 목탄 10∼20%로 구성되며, 약간의 충격에도 격렬하게 연소하지만 폭발을 일으키지는 않는다. 액체 산소 폭약은 산화제 역할을 하는 것으로, 폭발시 발열량과 맹도는 크지만 액체 산소의 저장이나 운반 등 취급이 어려운 단점이 있다.",混合火藥類
1141,홉킨슨효과,"폭약이 폭발하면 그 폭굉에 따라 응력파가 발생하고, 이 응력파가 전파되어 자유면에 도달되면 다시 반사되어 암반 속으로 되돌아간다. 이 때, 암석은 압축 강도보다 인장 강도에 훨씬 약하므로(압축 강도의 1/10∼1/20정도), 입사할 때의 압력파에는 그다지 파괴되지 않아도 반사할 때의 인장파에는 보다 많이 파괴된다. 이와 같은 현상을 홉킨슨 효과라 한다.",Hopkinson effect
1142,화강암,"석영과 장석류를 주성분으로 하는 조립완정질(粗粒完晶質) 암석. 장석은 칼륨장석과 사장석으로 이들의 함량비율에 따라서 화강암을 분류한다. 유색광물은 무색광물에 비해서 매우 적다. 화강암류는 어느 것이나 미량의 인회석 ·티타나이트 ·갈렴석 ·자철석 등을 포함한다. 화강암은 석영 ·칼륨장석(정장석 ·미사장석) 및 사장석의 조합으로 된 삼각도에서 석영의 양이 10~60% 범위에서, 칼륨장석의 전 장석량에 대한 비율이 ① 2/3 이상인 것을 협의화강암[Ⅰ], ② 2/3~1/3인 것을 아다멜라이트(국제지질학회 심성암분과에서는 화강암[Ⅱ]라고 한다), ③ 1/3~1/8인 것을 화강섬록암, ④ 1/8 이하의 것을 석영섬록암으로 세분한다. 유색광물의 종류에 따라서는 복운모(複雲母)화강암 ·흑운모화강암 ·각섬석화강암 ·투휘석(透輝石)화강암 등으로 세분한다. 조산대(造山帶)의 화강암은 한국의 경기지대 ·영남지대 ·옥천대에서와 같이 광물조성 ·화학조성으로 보아 아다멜라이트나 화강섬록암에 속하는 것이 많고, 경상분지에서와 같이 지괴(地塊)운동에 수반해서 관입한 협의화강암에 속하는 것이 많다. 화강암은 그 산출상태에 따라 ① 큰 관입암체를 이루어 산출되는 것과, ② 점이적(漸移的)인 형태로 명확한 경계를 지을 수 없는 것으로 구분된다. ①의 경우, 평면상에서의 모양은 불규칙하지만 주위의 암석과는 명확한 경계를 짓고 있다. 이와 같은 산상(産狀)의 화강암은 화강암질 마그마가 지각 내에 관입고결(貫入固結)하여 형성된 것이다. 이때 주위의 암석은 마그마의 열로 열변성작용을 받아 각종 혼펠스를 만든다. 한국에는 옥천대 ·경상분지 및 영남 변성암대에 이와 같은 화강암체가 다수 분포한다. 이에 대하여 ②의 경우, 광역변성암지대에서는 복잡구조의 편마암에 조화된 형태로 화강암체가 나타나 있음을 볼 수 있는데, 이들은 서로 점이적으로 변하여 명확한 경계를 긋기가 어렵다. 이와 같은 화강암체는 주위의 암석이 변성작용을 받을 때 화강암마그마가 관입한 것, 주위의 변성암 일부를 동화(同化)하면서 고결한 것이거나, 또는 변성작용이 극한에 도달하여 사암이나 이암(泥岩)의 일부가 용융되어 화강암마그마가 생긴 것으로 추측된다. 이와 같이 과거 퇴적암이 변성을 받아 화강암이 되었다는 학설을 화강암화작용 또는 혼성작용이라 하며, 이와 같은 생각을 가진 학자를 변성론자라고 한다. 이에 대해서 화강암체의 많은 것들은 마그마가 지하 깊은 곳에서 고결한 것이라고 생각하는 학자[火成論者]가 있다. 화강암체의 성인이 이들 중 어느 것이 타당한 것인지에 대해서는 지질학계에서 중요한 문제로 남아 있다. 스트론튬의 동위원소비(87Sr/86Sr)를 측정함으로써 이 값이 작은 것은 맨틀 기원에 가깝고, 크면 대륙지각(大陸地殼) 기원이라는 판단을 하는 고찰도 있으나, 이에 대해서는 앞으로 많은 검토가 필요하다. 화강암은 대양지각(大洋地殼)에는 없고 대륙지각에서만 산출된다. 화강암이라는 용어는 16세기까지 거슬러 올라가며, J.휴턴과 J.홀(1790)이 명명하여 용어화했다. 라틴어 granum은 입자라는 뜻이다. 화강암의 어원은 중국 남부의 화강이라는 곳에서 이 암석이 산출된 데서",
1143,화공품,"중요한 화약류로는 다이너마이트와 무연화약이 있다. 다이너마이트는 니트로글리세린 및 그 유사물을 기제로서 6% 이상 함유하는 폭파약으로서 종류가 매우 많으며, 규조토(珪藻土) 다이너마이트나 질산나트륨과 질산암모늄을 배합한 암모니아다이너마이트 등 혼합화약에 속하는 것도 있다. 다이너마이트는 현재 공업용 화약류 중에서 가장 중요한 위치를 차지하고 있다. 무연화약은 혼합화약의 일종으로서 발사제와 로켓 추진제로 사용되고 있다. 기제에 적당한 용제를 가하여 팽윤 용해시킨 다음 용제를 제거하면 치밀한 조직을 가진 화약이 되며, 연소할 때 검은 연기를 내지 않고 고체인 연소생성물도 남지 않는다. 단일기제를 사용한 싱글베이스 휘발성 용제추진제(B화약 등)나 니트로셀룰로오스와 니트로글리세린 등 2종의 기제로 이루어지는 더블베이스 추진제(코다이트 등)가 그 예이다. 화약류가 연소나 폭발을 일으킬 때 필요량의 산소분을 가지고 있지 않거나 연소·폭발의 상황에 따라서는 다량으로 발생하는 질소·이산화탄소·수증기 외에 질소화합물·일산화탄소 등의 유독가스가 함유되어 있다. 이러한 가스를 전체적으로 후생(後生)가스라고 하며, 일반적으로는 유독가스의 발생을 방지하기 위해서 질산암모늄이나 염소산칼륨 등이 산화제로서 과잉으로 배합되어 있다. 또한 갱외용 칼릿의 폭발에서는 염화수소가, 또 황광산(黃鑛山)에서의 폭발에서는 후생가스 속에 황화수소나 이산화황(아황산가스)이 함유되어 있는 일이 있으므로 주의해야 한다. 금속·종이 또는 천으로 만든 용기에 화약류를 넣고 그 연소 또는 폭발에 의해서 다른 화약류를 안전 확실하게 연소 또는 폭발시키는 데 사용하는 각종 화약제품의 총칭이다",火工品
1144,화산쇄설암,"화산에서 방출된 물질이 기계적으로 집적하여 생긴 암석을 말함. 즉 화산 폭발에 의해 방출된 암편(화산분출물)이 쌓여 고결한 것이다. 방출 때에 고체 또는 반고체일 경우는 암편의 크기에 따라 화산각력암(지름 32mm 이상) ·응회각력암(凝灰角礫岩: 지름 4∼32mm) ·응회암(지름 4mm 이하)으로 나뉘고, 유동체일 경우에는 암편의 모양과 석기의 성분에 의하여 응회집괴암(응회암의 석기＋화산탄) ·암재집괴암(岩滓集塊岩:암재의 석기＋화산탄) ·용암병(熔岩餠)집괴암(응회암의 석기＋용암병)으로 나뉜다. 또 속돌이나 암재만으로 된 암석은 각각 경석응회암 ·암재응회암이라 한다. 응회암의 일종에는 다시 응결응회암이라고 불리는 것도 있다.","火山碎屑巖, Phroclastic rocks"
1145,화산암,"마그마가 지표 또는 지하의 얕은 곳에까지 올라와 고결된 암석. 분출암(噴出岩)이라고도 한다. 이 곳에서는 마그마의 냉각 ·고결이 빨리 진행되므로 화산암의 대부분은 광물입자가 매우 작은 결정질(結晶質) 또는 유리질이다. 마그마는 지표에 이르기 전에 이미 정출이 일어나, 화산암에 큰 결정이 들어 있으므로 이들은 후에 고결된 세립질의 석기(石基) 내에 포유되어 있다. 이 때 포유되어 있는 큰 결정을 반정(斑晶)이라 하고 이와 같은 조직을 반상조직(斑狀組織)이라 한다. 지표에 분출되는 마그마 중에는 휘발성분이 많이 들어 있어 점성을 증대시켜 큰 결정을 정출시키는 데 도움을 준다. 용암의 일부가 고결된 후에도 나머지 부분은 계속 유동하여 고결된 피각은 파괴된다. 그 결과 불규칙한 모양의 암괴 또는 암편을 함유하는 각력암(角礫岩)이 만들어지는데 이를 자파쇄용암(自破碎熔岩)이라 한다. 화산암은 그것을 만드는 마그마의 성질 ·화학성분 ·광물조성 등이 다양하므로 다종다양하게 산출된다. 화산암을 구성하는 광물입자들은 흔히 편광현미경 하에서도 광물을 동정(同定)하기 곤란할 정도로 세립질이고 유리질이어서 화학성분에 의한 분류방법이 많이 쓰인다. CIPW놈 계산법은 화학분석값으로부터 가상적 조성광물을 유도해 내는 것으로, 이 때의 광물을 놈 광물(normative mineral)이라 한다. ［그림］은 이산화규소 SiO2와 산화나트륨+산화칼륨 Na2O+K2O 함량의 상관관계에 따라 화산암을분류한 도표이다. 화산암은 알칼리암렬(岩列)과 비알칼리암렬로 크게 구분된다. 비알칼리암렬은 Al2O3, Fe2O3, MgO 등의 함량비에 따라 고알루미나암렬과 톨레이아이트암렬로 세분된다. 즉 화산암은 세 가지 주암열로 분류할 수 있다. 이들의 분포는 조구환경과 밀접한 관계를 가진다. 각 군의 화산암류 중 가장 많은 양을 차지하는 것은 현무암으로 화산암 전체의 90% 이상을 차지한다. 화산암은 화학조성 및 광물조성에 따라 현무암 ·안산암(安山岩) ·유문암(流紋岩) 등으로 크게 나누어지지만, 이들 사이의 경계는 뚜렷하지 않다. 사장석의 평균조성에 바탕을 두고 분류하려는 학자도 많지만, 가장 중요한 것은 이산화규소의 함유량에 따라 산성암 ·중성암 ·염기성암 등으로 구분한다. 광물조성에 의하여 분류할 때에는 석영-알칼리장석-사장석의 삼각도표를 사용하지만 화산암은 흔히 비결정질로 산출되어 조성광물의 모드분석을 하기 곤란하다. 조면암질암은 알칼리암렬에 속하는 것으로 흔히 석영을 함유하지 않으며, 알칼리장석류 중 칼리장석 또는 아노더클레이스를 함유하거나 장석류 대신 준장석류를 함유한다. 한반도에 분포하는 제4기 화산암은 알칼리암렬에 속하는 것으로 백두산은 현무암에서 유문암에 이르기까지, 길주-명천 지구대와 추가령 열곡에는 현무암, 울릉도에는 조면암질 암류, 제주도에는 현무암과 조면암질 현무암이 분포한다.","火山岩, volcanic rocks"
1146,화석,"지질시대(약 1만 년 전부터)에 생존한 고생물의 유체(遺體) ·유해(遺骸) 및 흔적 등이 퇴적물 중에 매몰된 채로 또는 지상에 그대로 보존되어 남아 있는 것의 총칭. 생물체의 전부 또는 일부가 화석화된 것을 체화석(體化石)이라 하고, 생물의 생활흔적(발자국, 기어다닌 자국 등)이 남아 있는 것을 흔적화석(痕迹化石) 또는 생흔화석(生痕化石)이라고 한다. 화석이란 말은 돌로 변화했다는 뜻이나, 모든 화석이 반드시 돌로 변해 있는 것은 아니다. 지구상에 빙하가 성했던 제4기 빙기에 살던 매머드는 현재는 절멸된 동물이지만, 지질시대에 생존한 동물이기 때문에 완전한 화석이다. 그런데 빙하시대부터 오늘날까지 오랫동안 얼어 있는 시베리아 북부지방 같은 추운 곳의 얼음 속에서 발견된 이 매머드는 몸집이 완전히 보존되어 있을 뿐만 아니라, 그 살덩이를 개들이 뜯어먹을 수 있을 정도로 생생하게 보존되어 있다. 이 때문에 중국에서는 화석이란 말 대신 강석(彊石)이란 말을 쓰기도 한다. 본래 화석이란 말은 라틴어인 fossilis에서 온 말인데,땅에서 파낸 기묘한 물건’이란 뜻이다. 따라서 처음에는 광물 또는 골동품까지도 화석이라고 하였으나 점차 생물의 유해 ·유적에 대해서만 화석이란 말을 사용하였다. 퇴적물(지층) 속에 오래 묻혀 있는 동안에 고생물의 유해나 유적은 변성작용이나 속성작용을 받아 석화(石化)하는 경우가 많으므로 석화작용 또는 화석화작용이란 말이 있으며, 여기서 화석이란 말이 나온 것으로 생각된다.","化石, fossil"
1147,화석의성인,"화석이 만들어지려면 먼저 지질시대의 생물의 번식, 둘째로는 이 생물들이 죽은 후 분해되어 없어지지 않도록 자연조건이 구비되어 있어야 한다. 생물의 연약한 조직은 곧 부패해 버리기 때문에 화석으로 남을 만한 굳은 껍질이나 골격이 있어야 하는 것도 화석의 성인의 한 요소이다. 화석화의 자연조건이란 죽은 생물의 유해가 곧 퇴적물에 덮여 분해되지 않아야 한다는 것이다. 연약한 육질부(肉質部)까지 완전히 보존되려면, 이것이 부패하지 않도록 어떤 천연방부제(天然防腐劑)의 역할이 필요하다. 이와 같은 천연방부제로서는 얼음, 건조한 공기, 수지나 천연아스팔트 같은 방부제적 역할을 하는 물질에 파묻혀야 한다. 빙하나 툰드라 같은 것은 자연냉장고적 역할을 하여 동물의 육질부까지를 부패로부터 면하게 할 수 있게 한다. 동물의 시체가 미라 상태로 발견되는 것은 흔히 있는 일이며, 화석으로도 중생대(中生代)의 공룡이나 신생대(新生代)의 포유동물이 미라로 사막에서 발견된다. 수지도 방부제로서 아직 굳지 않은 나무진에 붙은 곤충 등이 수지에 감싸여 완전한 상태로 보존되는 일이 있다. 수지의 화석을 호박(琥珀)이라고 하며, 호박 속의 곤충화석은 북유럽 등지의 신생대 지층에서 많이 발견된다. 또한 석유가 지표로 흘러나와 이것이 증발되어 천연아스팔트층을 형성한다. 이런 것은 북아메리카 서해안 로스앤젤레스 부근에서 발견되는데, 여기서 아스팔트층이 굳기 전에 그 속에 빠져 죽은 많은 포유동물의 시체가 발견된다. 그러나 이와 같이 육질부까지 보존되는 일은 매우 희귀한 일이며, 화석으로는 역시 생물의 굳은 부분이 분해작용을 면하여 남는 일이 많다. 최근에는 육안으로는 볼 수 없는 유기물이 지층 중에 남아 있는 것을 화학적 분석으로 알게 되었으며, 이런 유기물 중에는 아미노산이나 당류(糖類)와 같은 생명물질이 포함되어 있음이 밝혀졌다. 이러한 화석을 생화학화석(生化學化石)이라고 하며, 생명의 기원이나 지구상에 생존한 시초기의 생물들에 대한 연구에 많은 도움을 주고 있다.",化石의成因
1148,화성광상,지하에서 마그마가 고결되었을 때 직접 분화하여 생긴 광상. 염기성암(鹽基性岩)속의 크롬철석의 광상 등이 여기에 속한다. 넓은 뜻으로는 마그마에서 생성된 페그마타이트기 ·열기기(熱氣期) ·열수기(熱水期) 등에 생성된 광상도 포함된다.,"火成鑛床,igneous ore deposits"
1149,화성암,"이는 퇴적암 및 변성암과 더불어 암석의 3대 분류의 하나이다. 화성암 연구에서 중요한 과제는 마그마의 발생 ·조성 ·분화 및 고결(固結)에 이르는 과정을 밝히는 화성암 성인론이며, 이것이 암석학의 목적이라고도 할 수 있다. 마그마 고결시의 화학성분, 온도와 압력 및 냉각속도에 의해서 여러 종류의 암상(岩相)이 만들어진다. 화성암은 앞의 두 가지 요소에 의해서 반영되는 광물종과 후의 요소에 의해서 반영되는 결정성장(結晶成長)에 근거한 조직에 의해서 여러 가지로 분류된다. 특히 후자의 경우는 마그마가 지하 심부에서 고결된 것인지, 지표 부근에 관입한 것인지, 지표에 분출한 것인지에 따라서 각각 서로 다른 조직을 이룬다. 화성암은 관입암 및 분출암의 산상(産狀)으로 산출한다. 관입암은 암체의 형성에 따라 저반(底盤) ·암주(岩株) ·병반(餠盤) ·암맥(岩脈) ·암상(岩相) 등으로 구별하며, 이들은 대개 완정질 및 조립질이고 암맥이나 암상은 반정질로서 조립질 반정(班晶)이 세립질 석기(石基)에 섞인 모양을 나타낸다.",
1150,화약,"고체 또는 액체 폭발성 물질로서 일부분에 충격 또는 열을 가하면 순간적으로 전체가 기체물질로 변하고 동시에 다량의 열을 발생하면서 기체의 팽창력에 의해서 유효한 일을 하는 물질 폭발성 물질이라도 폭발시에 발생하는 에너지를 공업용 등으로 유효하게 이용할 수 없는 것은 화약류라고 할 수 없다. 또 좁은 뜻으로는 추진제(推進劑)를 가리키기도 한다. 화약류의 폭발은 주로 산화반응, 즉 연소에 의해서 일어나는데 연소속도가 빠르고 높은 온도가 되며 급격한 가스팽창에 의해서 음향과 파괴력이 발생하는 현상을 폭발이라고 한다. 그리고 폭발의 전파속도(傳播速度)가 매질 내의 음속보다 커서 강한 충격파를 발생하는 경우를 폭굉(爆轟)이라고 한다. 일반적으로 폭발이라는 말은 압력의 급격한 해방을 가리키지만, 화약류의 경우는 폭발로 간주되는 경우라도 폭발속도(정확히 말하면 화염전파속도)가 음속보다 작을 때는 연소라고 한다. 그리고 폭발은 폭굉의 뜻으로 사용되는 일이 많다. 그러나 연소와 폭굉을 합한 것을 폭발이라고 하는 일도 있다. 화약학에서 엄밀히 정의하면, 뒤에 언급하는 흑색화약(黑色火藥)의 폭발은 연소이고 화포(火砲) 내에서의 추진제의 연소는 일반적으로 폭발적이므로 폭연(爆燃)이라고 하는 일이 있으나 폭굉은 아니다. 화약학에서는 연소인 경우의 화염의 전파속도를 연속(燃速), 폭굉의 경우의 전파속도를 폭속(爆速)이라고 한다. 화약류는 법규적으로 화약·폭약·화공품(火工品)으로 분류된다. 연소에 의해서 탄환 등의 물체를 추진시키는 것을 단순히 화약, 파괴적 폭발의 용도를 가진 것을 폭약이라고 한다. 또 다른 분류법으로는 화약류를 파괴약·추진제·화공품으로 분류하고 있다. 파괴약에는 암석의 폭파(發破라고 한다)에 사용되는 파괴약과 폭탄 등을 작열시키는 작약(炸藥:단지 폭약이라고도 한다)이 있다. 추진제는 앞에서 말한 바와 같이 포탄 또는 로켓의 발사에 사용된다. 화공품은 파괴약이나 추진제에 폭발을 일으키거나(點火·點爆) 전달하는 구실을 한다.","火藥, gunpowder"
1151,화약류재해,"발파에 의한 재해는 화약류의 취급 부주의로 발생하게 되는 경우가 많고, 발파시 점화를 잘못하거나 경계가 소홀할 때 일어나므로 화약류 취급에 각별한 주의를 기울여야 한다.",
1152,화약류저장소,"화약류는 원칙적으로 화약류 저장소에 저장하여야 한다. 총포·도검·화약류 단속법 시행령(이하 시행령이라함.)에 의한 저장소의 종류에는 1급, 2급, 3급 저장소, 수중 저장소, 실포, 꽃불류, 장난감용 꽃불류 및 도화선 저장소, 그리고 간이 저장소 등 9가지가 있다. 이와 같은 저장소를 설치할 때에는 시·도지사 또는 관할 경찰서장의 허가를 받아야 한다. 즉, 3급 저장소 및 간이 저장소는 경찰서장의 허가를, 나머지 7가지의 저장소는 시·도지사의 허가를 받아 설치한다.",
